pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,close_dt,date
SOL/USDT:USDT,1999.188,1999.188,10.8,2025-10-22 05:15:00+00:00,2025-10-22 09:00:00+00:00,185.11,184.58,0.0005,0.0005,225,-0.0037612422367619184,-7.52319006,exit_long,0.0,-1.0,0.0,-1.0,183.13,185.38,False,long,1.0,False,1761110100000,1761123600000,"[{'amount': 10.8, 'safe_price': 185.11, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761110100000, 'ft_is_entry': True, 'ft_order_tag': 'long', 'cost': 2000.1875940000002}, {'amount': 10.8, 'safe_price': 184.58, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761123600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_long', 'cost': 1994.460732}]",0.19713594240000004,2,2025-10-22 09:00:00+00:00,2025-10-22 09:00:00+00:00
SOL/USDT:USDT,1999.0014,1999.0014,10.83,2025-10-22 09:00:00+00:00,2025-10-22 09:15:00+00:00,184.58,183.9,0.0005,0.0005,15,0.002687225073149859,5.3690808,exit_short,369.16,-1.0,369.16,-1.0,183.5,184.8,False,short,1.0,True,1761123600000,1761124500000,"[{'amount': 10.83, 'safe_price': 184.58, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761123600000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 2000.0009007}, {'amount': 10.83, 'safe_price': 183.9, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761124500000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 1992.6328185}]",0.0,2,2025-10-22 09:15:00+00:00,2025-10-22 09:15:00+00:00
SOL/USDT:USDT,1998.993,1998.993,10.87,2025-10-22 09:15:00+00:00,2025-10-22 12:30:00+00:00,183.9,186.6132,0.0005,0.0005,195,0.013739423926883718,27.47874476,trailing_stop_loss,186.6132,-1.0,186.6132,-0.001,181.44,186.8,False,long,1.0,False,1761124500000,1761136200000,"[{'amount': 10.87, 'safe_price': 183.9, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761124500000, 'ft_is_entry': True, 'ft_order_tag': 'long', 'cost': 1999.9924964999998}, {'amount': 10.87, 'safe_price': 186.6132, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761136200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 2029.4997267419997}]",0.0,2,2025-10-22 12:30:00+00:00,2025-10-22 12:30:00+00:00
BNB/USDT:USDT,1998.6373,1998.6373,1.87,2025-10-22 05:15:00+00:00,2025-10-22 13:15:00+00:00,1068.79,1079.06,0.0005,0.0005,480,-0.010767624349765168,-21.50981537,exit_short,2137.58,-1.0,2137.58,-1.0,1057.46,1080.4,False,short,1.0,True,1761110100000,1761138900000,"[{'amount': 1.87, 'safe_price': 1068.79, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761110100000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 1999.63661865}, {'amount': 1.87, 'safe_price': 1079.06, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761138900000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 2018.8511211}]",-0.29667561986700003,2,2025-10-22 13:15:00+00:00,2025-10-22 13:15:00+00:00
BNB/USDT:USDT,1996.261,1996.261,1.85,2025-10-22 13:15:00+00:00,2025-10-22 14:30:00+00:00,1079.06,1068.97,0.0005,0.0005,75,-0.010340885383675554,-20.65342775,exit_long,0.0,-1.0,0.0,-1.0,1064.51,1083.64,False,long,1.0,False,1761138900000,1761143400000,"[{'amount': 1.85, 'safe_price': 1079.06, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761138900000, 'ft_is_entry': True, 'ft_order_tag': 'long', 'cost': 1997.2591304999999}, {'amount': 1.85, 'safe_price': 1068.97, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761143400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_long', 'cost': 1978.58329725}]",0.0,2,2025-10-22 14:30:00+00:00,2025-10-22 14:30:00+00:00
LINK/USDT:USDT,1999.9071,1999.9071,114.3,2025-10-22 12:30:00+00:00,2025-10-22 14:45:00+00:00,17.497,17.248,0.0005,0.0005,135,-0.015216287381256506,-30.44637675,exit_long,0.0,-1.0,0.0,-1.0,17.13,17.591,False,long,1.0,False,1761136200000,1761144300000,"[{'amount': 114.3, 'safe_price': 17.497, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761136200000, 'ft_is_entry': True, 'ft_order_tag': 'long', 'cost': 2000.9070535499998}, {'amount': 114.3, 'safe_price': 17.248, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761144300000, 'ft_is_entry': False, 'ft_order_tag': 'exit_long', 'cost': 1972.4321232}]",0.0,2,2025-10-22 14:45:00+00:00,2025-10-22 14:45:00+00:00
BNB/USDT:USDT,1998.9739,1998.9739,1.87,2025-10-22 14:30:00+00:00,2025-10-22 15:00:00+00:00,1068.97,1080.41,0.0005,0.0005,30,-0.011713098099327033,-23.4024703,exit_short,2137.94,-1.0,2137.94,-1.0,1064.85,1082.72,False,short,1.0,True,1761143400000,1761145200000,"[{'amount': 1.87, 'safe_price': 1068.97, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761143400000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 1999.97338695}, {'amount': 1.87, 'safe_price': 1080.41, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761145200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 2021.37688335}]",0.0,2,2025-10-22 15:00:00+00:00,2025-10-22 15:00:00+00:00
LINK/USDT:USDT,1999.9056,1999.9056,115.95,2025-10-22 14:45:00+00:00,2025-10-22 15:00:00+00:00,17.248,17.515,0.0005,0.0005,15,-0.016496043710811925,-32.97403493,exit_short,34.496,-1.0,34.496,-1.0,17.187,17.59,False,short,1.0,True,1761144300000,1761145200000,"[{'amount': 115.95, 'safe_price': 17.248, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761144300000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 2000.9055528000001}, {'amount': 115.95, 'safe_price': 17.515, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761145200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_short', 'cost': 2031.879682125}]",0.0,2,2025-10-22 15:00:00+00:00,2025-10-22 15:00:00+00:00
BNB/USDT:USDT,1998.7585,1998.7585,1.85,2025-10-22 15:00:00+00:00,2025-10-22 15:15:00+00:00,1080.41,1077.97,0.0005,0.0005,15,-0.00325564487958999,-6.5105015,exit_long,0.0,-1.0,0.0,-1.0,1071.42,1082.72,False,long,1.0,False,1761145200000,1761146100000,"[{'amount': 1.85, 'safe_price': 1080.41, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761145200000, 'ft_is_entry': True, 'ft_order_tag': 'long', 'cost': 1999.75787925}, {'amount': 1.85, 'safe_price': 1077.97, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761146100000, 'ft_is_entry': False, 'ft_order_tag': 'exit_long', 'cost': 1995.24162225}]",0.0,2,2025-10-22 15:15:00+00:00,2025-10-22 15:15:00+00:00
BNB/USDT:USDT,1994.2445,1994.2445,1.85,2025-10-22 15:15:00+00:00,2025-10-22 21:00:00+00:00,1077.97,1053.7226699999999,0.0005,0.0005,345,0.021436872817177845,42.72899053,trailing_stop_loss,2155.94,-1.0,1053.7226699999999,-0.001,1052.67,1081.76,False,short,1.0,True,1761146100000,1761166800000,"[{'amount': 1.85, 'safe_price': 1077.97, 'ft_order_side': 'sell', 'order_filled_timestamp': 1761146100000, 'ft_is_entry': True, 'ft_order_tag': 'short', 'cost': 1995.24162225}, {'amount': 1.85, 'safe_price': 1053.7226699999999, 'ft_order_side': 'buy', 'order_filled_timestamp': 1761166800000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 1950.3616329697497}]",-0.15675424773000002,2,2025-10-22 21:00:00+00:00,2025-10-22 21:00:00+00:00
